1, Alyssa,206174,200,1
2, Luigi,218890,300,1
3, James,100,150,1
1, Alyssa,100,200,1
2, Luigi,100,300,1
3, James,100,150,1
4,Shambhavi,0,0,1
1, Alyssa,1202,200,1
2, Luigi,1270,300,1
3, James,100,150,1
1, Alyssa,100,200,1
2, Luigi,100,300,1
3, James,100,150,1
4,Shambhavi,0,0,1
1, Alyssa,7814,200,1
2, Luigi,8290,300,1
3, James,100,150,1
1, Alyssa,100,200,1
2, Luigi,100,300,1
3, James,100,150,1
4,Shambhavi,0,0,1
1, Alyssa,1202,200,1
2, Luigi,1270,300,1
3, James,100,150,1
1, Alyssa,100,200,1
2, Luigi,100,300,1
3, James,100,150,1
4,Shambhavi,0,0,1
1, Alyssa,21038,200,1
2, Luigi,22330,300,1
3, James,100,150,1
1, Alyssa,100,200,1
2, Luigi,100,300,1
3, James,100,150,1
4,Shambhavi,0,0,1
1, Alyssa,1202,200,1
2, Luigi,1270,300,1
3, James,100,150,1
1, Alyssa,100,200,1
2, Luigi,100,300,1
3, James,100,150,1
4,Shambhavi,0,0,1
1, Alyssa,7814,200,1
2, Luigi,8290,300,1
3, James,100,150,1
1, Alyssa,100,200,1
2, Luigi,100,300,1
3, James,100,150,1
4,Shambhavi,0,0,1
1, Alyssa,1202,200,1
2, Luigi,1270,300,1
3, James,100,150,1
1, Alyssa,100,200,1
2, Luigi,100,300,1
3, James,100,150,1
4,Shambhavi,0,0,1
1, Alyssa,47486,200,1
2, Luigi,50410,300,1
3, James,100,150,1
1, Alyssa,100,200,1
2, Luigi,100,300,1
3, James,100,150,1
4,Shambhavi,0,0,1
1, Alyssa,1202,200,1
2, Luigi,1270,300,1
3, James,100,150,1
1, Alyssa,100,200,1
2, Luigi,100,300,1
3, James,100,150,1
4,Shambhavi,0,0,1
1, Alyssa,7814,200,1
2, Luigi,8290,300,1
3, James,100,150,1
1, Alyssa,100,200,1
2, Luigi,100,300,1
3, James,100,150,1
4,Shambhavi,0,0,1
1, Alyssa,1202,200,1
2, Luigi,1270,300,1
3, James,100,150,1
1, Alyssa,100,200,1
2, Luigi,100,300,1
3, James,100,150,1
4,Shambhavi,0,0,1
1, Alyssa,21038,200,1
2, Luigi,22330,300,1
3, James,100,150,1
1, Alyssa,100,200,1
2, Luigi,100,300,1
3, James,100,150,1
4,Shambhavi,0,0,1
1, Alyssa,1202,200,1
2, Luigi,1270,300,1
3, James,100,150,1
1, Alyssa,100,200,1
2, Luigi,100,300,1
3, James,100,150,1
4,Shambhavi,0,0,1
1, Alyssa,7814,200,1
2, Luigi,8290,300,1
3, James,100,150,1
1, Alyssa,100,200,1
2, Luigi,100,300,1
3, James,100,150,1
4,Shambhavi,0,0,1
1, Alyssa,1202,200,1
2, Luigi,1270,300,1
3, James,100,150,1
1, Alyssa,100,200,1
2, Luigi,100,300,1
3, James,100,150,1
4,Shambhavi,0,0,1
5,Shashwat,0,0,1
1, Alyssa,100382,200,1
2, Luigi,106570,300,1
3, James,100,150,1
1, Alyssa,100,200,1
2, Luigi,100,300,1
3, James,100,150,1
4,Shambhavi,0,0,1
1, Alyssa,1202,200,1
2, Luigi,1270,300,1
3, James,100,150,1
1, Alyssa,100,200,1
2, Luigi,100,300,1
3, James,100,150,1
4,Shambhavi,0,0,1
1, Alyssa,7814,200,1
2, Luigi,8290,300,1
3, James,100,150,1
1, Alyssa,100,200,1
2, Luigi,100,300,1
3, James,100,150,1
4,Shambhavi,0,0,1
1, Alyssa,1202,200,1
2, Luigi,1270,300,1
3, James,100,150,1
1, Alyssa,100,200,1
2, Luigi,100,300,1
3, James,100,150,1
4,Shambhavi,0,0,1
1, Alyssa,21038,200,1
2, Luigi,22330,300,1
3, James,100,150,1
1, Alyssa,100,200,1
2, Luigi,100,300,1
3, James,100,150,1
4,Shambhavi,0,0,1
1, Alyssa,1202,200,1
2, Luigi,1270,300,1
3, James,100,150,1
1, Alyssa,100,200,1
2, Luigi,100,300,1
3, James,100,150,1
4,Shambhavi,0,0,1
1, Alyssa,7814,200,1
2, Luigi,8290,300,1
3, James,100,150,1
1, Alyssa,100,200,1
2, Luigi,100,300,1
3, James,100,150,1
4,Shambhavi,0,0,1
1, Alyssa,1202,200,1
2, Luigi,1270,300,1
3, James,100,150,1
1, Alyssa,100,200,1
2, Luigi,100,300,1
3, James,100,150,1
4,Shambhavi,0,0,1
1, Alyssa,47486,200,1
2, Luigi,50410,300,1
3, James,100,150,1
1, Alyssa,100,200,1
2, Luigi,100,300,1
3, James,100,150,1
4,Shambhavi,0,0,1
1, Alyssa,1202,200,1
2, Luigi,1270,300,1
3, James,100,150,1
1, Alyssa,100,200,1
2, Luigi,100,300,1
3, James,100,150,1
4,Shambhavi,0,0,1
1, Alyssa,7814,200,1
2, Luigi,8290,300,1
3, James,100,150,1
1, Alyssa,100,200,1
